DayOfWeek,Date,PdDistrict
Sunday,01/31/2016,TENDERLOIN
Sunday,01/31/2016,TENDERLOIN
Sunday,01/31/2016,TENDERLOIN
Sunday,01/31/2016,TENDERLOIN
Sunday,01/31/2016,TENDERLOIN
Sunday,01/31/2016,TENDERLOIN
Sunday,01/31/2016,TENDERLOIN
Sunday,01/31/2016,TENDERLOIN
Sunday,01/31/2016,TENDERLOIN
Sunday,01/31/2016,TENDERLOIN
Sunday,01/31/2016,TENDERLOIN
Sunday,01/31/2016,TENDERLOIN
Sunday,01/31/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Saturday,01/30/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Friday,01/29/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Thursday,01/28/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
Wednesday,01/27/2016,TENDERLOIN
